,hard_skills,id_annonce
79,Excel,40552835
79,Tableau,40552835
79,SQL,40552835
80,Power Bi,41645628
81,Excel,44088680
81,Tableau,44088680
81,Power Bi,44088680
82,Excel,44089003
82,Tableau,44089003
82,Power Bi,44089003
83,Azure,42128736
83,Excel,42128736
83,SQL,42128736
84,ML,43135476
84,Excel,43135476
84,Tableau,43135476
84,machine learning,43135476
84,Mac,43135476
85,VBA,41634079
85,Excel,41634079
85,Power Bi,41634079
86,Excel,43860927
87,Excel,40353495
87,SQL,40353495
88,Excel,34384792
88,Tableau,34384792
88,SQL,34384792
88,VBA,34384792
88,QlikSens,34384792
88,DataViz,34384792
88,Qlik,34384792
89,Oracle,35714322
89,DataViz,35714322
89,Power Bi,35714322
89,SQL,35714322
90,ML,42995441
90,Excel,42995441
90,Tableau,42995441
90,Power Bi,42995441
90,AlteryX,42995441
91,SQL,43487449
92,ML,42995499
92,Excel,42995499
92,Tableau,42995499
92,Power Bi,42995499
92,AlteryX,42995499
93,ML,42995268
93,Excel,42995268
93,Tableau,42995268
93,Power Bi,42995268
93,AlteryX,42995268
94,Oracle,43962561
94,Tableau,43962561
94,SQL,43962561
95,DAX,43378303
95,Power Bi,43378303
95,SQL,43378303
96,ML,42995144
96,Excel,42995144
96,Tableau,42995144
96,Power Bi,42995144
96,AlteryX,42995144
97,Excel,43815929
98,Excel,41842396
98,Tableau,41842396
98,Power Bi,41842396
99,SAP,43408762
100,Excel,44006304
100,SQL,44006304
102,Tableau,43075172
102,SQL,43075172
102,PySpark,43075172
102,Spark,43075172
102,Hadoop,43075172
102,DataViz,43075172
103,Tableau,43442508
103,SQL,43442508
103,Dataiku,43442508
103,Power Bi,43442508
103,Qlik,43442508
104,Tableau,43069609
104,machine learning,43069609
104,AlteryX,43069609
104,Mac,43069609
104,Datalake,43069609
105,SAP,39573799
106,Mac,42450404
106,Excel,42450404
106,Power Bi,42450404
107,Excel,43051191
107,Tableau,43051191
107,SQL,43051191
107,VBA,43051191
107,Mac,43051191
108,Jupyter,42226598
108,Dataiku,42226598
108,Plotly,42226598
111,Access,40034738
111,PostgreSQL,40034738
111,Tableau,40034738
111,SQL,40034738
112,Mac,41059269
112,ETL,41059269
112,machine learning,41059269
112,SQL,41059269
113,VBA,43396083
113,Excel,43396083
113,SQL,43396083
114,SAP,43377917
114,Jupyter,43377917
115,Excel,43220941
115,Tableau,43220941
115,Azure,43220941
115,Spark,43220941
115,Hadoop,43220941
115,QlikSens,43220941
115,Power Bi,43220941
115,ETL,43220941
115,Qlik,43220941
117,Excel,42998800
117,Tableau,42998800
117,SQL,42998800
117,DataViz,42998800
117,Power Bi,42998800
117,Dataiku,42998800
118,Tableau,43827624
118,SQL,43827624
119,ETL,43823972
119,PostgreSQL,43823972
119,MySQL,43823972
119,SQL,43823972
121,Access,43969824
121,Excel,43969824
121,Qlik,43969824
121,SQL,43969824
122,Power Bi,30255620
123,SQL,40015093
123,SEMARCHY,40015093
123,Power Bi,40015093
123,ETL,40015093
123,Oracle,40015093
124,Excel,43170762
124,Tableau,43170762
124,SQL,43170762
124,dbeaver,43170762
124,NoSQL,43170762
124,Spark,43170762
124,Hadoop,43170762
124,machine learning,43170762
124,Mac,43170762
125,Access,44078725
125,Tableau,44078725
126,Excel,43824871
126,Tableau,43824871
126,DataViz,43824871
126,Power Bi,43824871
126,Datalake,43824871
128,Access,43479219
128,VBA,43479219
128,Excel,43479219
128,Power Bi,43479219
129,SQL,44078441
130,Excel,41529664
131,Mac,42364320
131,machine learning,42364320
131,Docker,42364320
132,ML,43563770
132,Excel,43563770
132,Tableau,43563770
132,SQL,43563770
132,Access,43563770
132,Snowflake,43563770
132,Airflow,43563770
133,Excel,43640031
133,Tableau,43640031
133,SQL,43640031
133,Access,43640031
133,DataViz,43640031
133,SAP,43640031
134,DataViz,43967737
134,Tableau,43967737
134,SQL,43967737
135,Google Analytics,43875324
135,Excel,43875324
135,Tableau,43875324
135,SQL,43875324
136,Excel,41529253
136,Tableau,41529253
136,machine learning,41529253
136,Power Bi,41529253
136,Mac,41529253
137,VBA,44086964
137,Datalake,44086964
137,Excel,44086964
137,SQL,44086964
138,Excel,42644935
138,Tableau,42644935
140,Tableau,42375139
140,SQL,42375139
140,Azure,42375139
140,Power Bi,42375139
140,SAP,42375139
140,DAX,42375139
141,ML,42062943
141,Excel,42062943
141,Tableau,42062943
141,SQL,42062943
141,Access,42062943
141,machine learning,42062943
141,Power Bi,42062943
141,Mac,42062943
141,Looker,42062943
142,Excel,43713014
142,Tableau,43713014
142,SQL,43713014
142,VBA,43713014
142,Power Bi,43713014
144,ML,43563804
144,Excel,43563804
144,Tableau,43563804
144,SQL,43563804
144,Access,43563804
144,Snowflake,43563804
144,Airflow,43563804
145,data mining,41449691
147,Excel,43692945
147,Tableau,43692945
147,data mining,43692945
147,SQL,43692945
147,Windows,43692945
147,MongoDB,43692945
147,MySQL,43692945
147,Spark,43692945
147,Hadoop,43692945
147,SQL Server,43692945
147,PostgreSQL,43692945
147,QlikSens,43692945
147,machine learning,43692945
147,ETL,43692945
147,Mac,43692945
147,Qlik,43692945
148,ETL,43244800
148,Excel,43244800
148,Tableau,43244800
148,SQL,43244800
149,ML,43405762
149,Excel,43405762
149,Tableau,43405762
149,SQL,43405762
149,Access,43405762
149,machine learning,43405762
149,Power Bi,43405762
149,Mac,43405762
149,Airflow,43405762
150,Excel,42294496
150,Tableau,42294496
150,Power Bi,42294496
151,Mac,40392844
151,Tableau,40392844
151,SQL,40392844
151,Azure,40392844
151,machine learning,40392844
151,Google Analytics,40392844
151,DataViz,40392844
151,ETL,40392844
151,Shiny,40392844
151,Dataiku,40392844
151,Airflow,40392844
152,ML,42631923
152,Tableau,42631923
152,SQL,42631923
152,DataViz,42631923
152,Shiny,42631923
153,Excel,41829362
153,SQL,41829362
154,Tableau,43791548
154,SQL,43791548
154,Access,43791548
154,machine learning,43791548
154,Power Bi,43791548
154,Mac,43791548
154,SAP,43791548
155,ML,39263469
155,DAX,39263469
155,Tableau,39263469
155,SQL,39263469
155,DataViz,39263469
155,Shiny,39263469
155,Looker,39263469
155,Qlik,39263469
156,Excel,41887277
157,ML,43080910
157,Excel,43080910
157,Tableau,43080910
157,SQL,43080910
157,machine learning,43080910
157,Mac,43080910
158,Access,41908211
158,Dataiku,41908211
158,Excel,41908211
158,Power Bi,41908211
159,Tableau,43653392
159,Dataiku,43653392
160,ML,43876122
160,Tableau,43876122
160,SQL,43876122
160,DataViz,43876122
160,Shiny,43876122
161,ML,43862597
161,Tableau,43862597
161,SQL,43862597
161,DataViz,43862597
161,Shiny,43862597
162,Mac,40389640
162,Tableau,40389640
162,SQL,40389640
162,Azure,40389640
162,machine learning,40389640
162,Google Analytics,40389640
162,DataViz,40389640
162,ETL,40389640
162,Shiny,40389640
162,Dataiku,40389640
162,Airflow,40389640
163,Tableau,40389857
163,SQL,40389857
163,Azure,40389857
163,Javascript,40389857
163,QlikSens,40389857
163,Qlik,40389857
165,Excel,41607082
165,Tableau,41607082
165,SQL,41607082
166,SAP,43376395
166,Excel,43376395
166,SQL,43376395
167,Access,43030578
167,Google Analytics,43030578
167,Tableau,43030578
167,SQL,43030578
168,Mac,41495973
169,Access,43032916
169,Qlik,43032916
169,Power Bi,43032916
169,SQL,43032916
170,Mac,42933873
170,machine learning,42933873
170,SQL,42933873
171,ML,41673991
171,Excel,41673991
171,Tableau,41673991
171,SQL,41673991
171,Google Analytics,41673991
171,Power Bi,41673991
171,Looker,41673991
172,SQL,43967750
173,Excel,41604778
173,Tableau,41604778
173,SQL,41604778
173,machine learning,41604778
173,Mac,41604778
174,Mac,43247012
174,Excel,43247012
174,Tableau,43247012
175,SQL,41811521
176,ML,43074193
176,Excel,43074193
176,Tableau,43074193
176,Access,43074193
176,VBA,43074193
179,SAP,40362776
179,Excel,40362776
179,Power Bi,40362776
179,SQL,40362776
180,ML,43563793
180,Tableau,43563793
180,SQL,43563793
180,Access,43563793
180,Snowflake,43563793
180,Airflow,43563793
181,Mac,43765147
181,Excel,43765147
181,Access,43765147
181,SQL,43765147
182,Mac,42235479
182,machine learning,42235479
183,ML,43563794
183,Excel,43563794
183,Tableau,43563794
183,SQL,43563794
183,Access,43563794
183,Snowflake,43563794
183,Airflow,43563794
184,DataViz,40393167
184,Azure,40393167
184,Tableau,40393167
184,SQL,40393167
185,SQL,41694519
187,Excel,42415262
187,Google Analytics,42415262
187,Dataiku,42415262
187,SQL,42415262
188,Qlik,42112861
188,Excel,42112861
188,Tableau,42112861
188,Hadoop,42112861
190,Tableau,43268645
191,Tableau,43244916
194,Excel,41674187
194,Tableau,41674187
194,Azure,41674187
194,DataViz,41674187
194,Power Bi,41674187
194,ETL,41674187
194,Snowflake,41674187
195,Excel,40391300
195,Tableau,40391300
195,SQL,40391300
195,Access,40391300
195,ETL,40391300
195,Looker,40391300
196,Airflow,40389452
196,Apache,40389452
196,Spark,40389452
196,Hadoop,40389452
196,Snowflake,40389452
196,Docker,40389452
198,Tableau,43785802
198,SQL,43785802
198,Azure,43785802
198,Snowflake,43785802
198,Qlik,43785802
199,Excel,40901349
200,Excel,39796085
200,Tableau,39796085
200,Windows,39796085
200,Javascript,39796085
200,Power Bi,39796085
201,Mac,40821677
201,Dataiku,40821677
201,SQL,40821677
203,Excel,42579858
205,Linux,41440018
205,Excel,41440018
205,Tableau,41440018
205,Windows,41440018
205,SQL,41440018
205,NoSQL,41440018
205,Azure,41440018
205,Spark,41440018
205,Javascript,41440018
205,Hadoop,41440018
205,Access,41440018
205,ETL,41440018
205,Databricks,41440018
205,Snowflake,41440018
205,Qlik,41440018
206,Dataiku,43830099
206,Excel,43830099
206,Tableau,43830099
206,Power Bi,43830099
207,Azure,43412321
207,Hadoop,43412321
207,Spark,43412321
207,ETL,43412321
209,Access,43794842
209,Looker,43794842
209,Google Analytics,43794842
209,SQL,43794842
210,Access,44019986
210,SAP,44019986
210,Azure,44019986
211,Excel,43222560
212,ETL,43453939
214,Access,43830329
215,ML,43402500
215,Excel,43402500
215,Access,43402500
216,Excel,42938584
216,SQL,42938584
216,Azure,42938584
216,Access,42938584
216,PostgreSQL,42938584
216,Docker,42938584
217,Cassandra,44018214
217,MySQL,44018214
217,SQL,44018214
218,Mac,43663014
218,Excel,43663014
218,Access,43663014
218,Power Bi,43663014
219,Excel,43824240
219,data mining,43824240
219,SQL,43824240
219,Access,43824240
219,Power Bi,43824240
219,Mac,43824240
219,Snowflake,43824240
221,Excel,43096522
221,SQL,43096522
221,Spark,43096522
221,Hadoop,43096522
221,ETL,43096522
223,SQL Server,43823970
223,Azure,43823970
223,Excel,43823970
223,SQL,43823970
224,Mac,43903154
224,SAP,43903154
224,Excel,43903154
224,Access,43903154
225,SQL,44099273
226,VBA,42364399
226,Excel,42364399
226,Power Bi,42364399
226,SQL,42364399
227,ML,42659118
228,Excel,41496067
229,Linux,40389569
229,Windows,40389569
229,SQL,40389569
